이름,알레르기 유발 성분
제로슈가에이드 레드애플맛제로,
제로슈가에이드 레몬라임맛제로,
미닛메이드 오렌지,
순수(미레랄워터),
아이스초코,우유
핫초코,우유
복숭아 컵,복숭아
스프라이트(L),
스프라이트(R),
스프라이트 제로(L),
스프라이트 제로(R) ,
아메리카노,
아이스아메리카노,
코카콜라(L),
코카콜라(R),
코카콜라 제로(L),
코카콜라 제로(R),
파인애플 컵,
