meue_name,price,image,info,spicy,N_calories,N_protein,N_sodium,N_sugars,N_saturated_fat,A_milk,A_Chicken,Apork,A_beef,A_egg,A_squid,A_tomato,A_clam,A_shrimp,I_sliced_cheese,I_shredded_cheese,I_pickle,I_jalapeno,I_whole_shrimp,I_bacon,I_tomato,I_lettuce,I_onion,I_hashbrown,I_garlic_chip,S_mayo,S_bulgogi,S_barbecue,S_ketchup,S_diablo,S_spicy_tomato,S_cheese,S_tartar,S_baconjam,S_mustard,P_beef,P_shrimp,P_chicken,P_steak,R_rank,R_man,R_women,R_yman,R_ywomen,R_oman,R_owomen,R_young,R_old,R_summer,R_winter
치즈와퍼,7700,Burger/치즈와퍼.png,불에 직접 구운 순 쇠고기 패티가 들어간 와퍼에 고소한 치즈까지!,0,716,33,1288,7.1,16,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,22,22,17,21,25,5,11,7,6,25,18
치즈와퍼주니어,5000,Burger/치즈와퍼주니어.png,불에 직접 구운 순 쇠고기 패티가 들어간 와퍼주니어에 고소한 치즈 추가!,0,438,19,771,4.8,10,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,7,26,5,20,19,15,1,8,24,20,26
치킨버거,3700,Burger/치킨버거.png,부드러운 에그번과 킹치킨패티의 만남! 풍부한 마요 소스로 고소하게!,0,538,18,851,4,7,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12,2,1,25,27,6,10,25,21,1,6
치킨킹,6400,Burger/치킨킹.png,스파이시한 통닭다리살과 고소한 브리오쉬번이 만나 더 풍부해진 프리미엄 치킨버거. 치킨킹!,1,751,27,1158,9,11,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,11,3,8,16,10,4,21,6,23,21,27
치킨킹BLT,7400,Burger/치킨킹BLT.png,"스파이시한 통닭다리살 프리미엄 치킨버거에 베이컨, 양상추, 토마토를 더했다. 치킨킹 BLT!",1,821,28,1184,13,12,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,23,4,22,13,17,3,22,14,7,6,14
콰트로치즈와퍼,7900,Burger/콰트로치즈와퍼.png,"진짜 불맛을 즐겨라, 4가지 고품격 치즈와 불에 직접 구운 와퍼 패티의 만남!",0,769,40,1051,6.2,20,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,16,20,15,24,13,17,11,16,3,3
콰트로치즈와퍼주니어,5300,Burger/콰트로치즈와퍼주니어.png,"진짜 불맛을 즐겨라, 4가지 고품격 치즈와 불에 직접 구운 와퍼 패티의 만남!",0,446,21,631,3.1,10,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,9,5,23,14,2,21,7,13,17,5,25
통새우슈림프버거,6000,Burger/통새우슈림프버거.png,통통한 통새우에 새콤달콤 루피 특제소스 듬뿍! 통새우 슈림프 버거,0,459,16,938,7,5,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,13,21,27,23,10,2,15,1,27,23
통새우와퍼,7900,Burger/통새우와퍼.png,"불맛 가득 순쇠고기, 갈릭페퍼 통새우, 스파이시토마토소스가 더해진 프리미엄 버거",1,741,34,984,4.8,15,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3,8,14,1,22,25,23,20,15,18,13
통새우와퍼주니어,5300,Burger/통새우와퍼주니어.png,"불맛 가득 순쇠고기, 갈릭페퍼 통새우, 스파이시토마토소스가 더해진 프리미엄 버거",1,381,21,522,5,7,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,8,15,26,11,9,26,26,17,2,26,21
헬로 디아블로 와퍼,13000,Burger/헬로_디아블로_와퍼.png,궁극의 불 맛에 강렬한 디아블로 소스와 스윗한 베이컨잼까지,1,1124,57,1649,30,20,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,99,99,99,99,99,99,99,99,99,99,99
헬로 릴리트 와퍼,9500,Burger/헬로_릴리트_와퍼.png,강렬한 매운 맛을 바삭한 해쉬브라운과 함께,1,893,37,1675,17,14,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,99,99,99,99,99,99,99,99,99,99,99
헬로 이나리우스 와퍼,9500,Burger/헬로_이나리우스_와퍼.png,바삭하게 튀긴 해쉬브라운과 스윗한 베이컨잼의 만남,0,925,37,1487,25,14,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,99,99,99,99,99,99,99,99,99,99,99
