이름,중량,열량,단백질,나트륨,당류,포화지방,카페인,단백질 백뷴율,나트륨 백분율,포화지방 백분율
초코 망고 선데,175,246,3,92,45,2,0,5,5,12
망고 선데,150,179,2,61,34,2,0,4,3,10
컵 망고 아이스크림,110,131,2,45,25,1,0,3,2,8
